,title,price,distance,area,address,town,province,date-posted
0,3 months free  - Spacious 5 Bedroom Ensuites - Fully Furnished,$699.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,16/08/2021
1,Two months free - 5 mins to Laurier - Student apartment for rent,$719.00,Near you,Kitchener / Waterloo,Marshall Street,Waterloo,BC,18/08/2021
2,1 MONTH FREE @ 134 Columbia * STUDENT APTS with EN-SUITE BATHS,$695.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,16/08/2021
3,Three months free | student apartment for rent | SEPT 2021,$575.00,Near you,Kitchener / Waterloo,Marshall Street,Waterloo,BC,18/08/2021
4,One month free - Student rentals - Close to UW and WLU,$699.00,Near you,Kitchener / Waterloo,University Avenue West,Waterloo,BC,16/08/2021
5,Huge 17 Foot Long private student Bedrooms for Rent,$615.00,Near you,Kitchener / Waterloo,King Street North,Waterloo,BC,16 minutes ago
6,Waterloo Furnished room for student in licensed townhouse,$600.00,Near you,Kitchener / Waterloo,Keats Way,Waterloo,BC,50 minutes ago
7,34 Laurel: Rooms for Rent - Available Immediately!,$530.00,2 km,Kitchener / Waterloo,Erb Street East,Waterloo,BC,2 hours ago
8,"STUDENTS ONLY - 308 Hawthorn St - near UW, WLU, Conestoga",$550.00,Near you,Kitchener / Waterloo,King Street North,Waterloo,BC,3 hours ago
9,Student housing room for sublet. Female only unit,$600.00,Near you,Kitchener / Waterloo,Albert Street,Waterloo,BC,4 hours ago
10,Room Rental (Female Vegetarian),$600.00,2 km,Kitchener / Waterloo,Amos Avenue,Waterloo,BC,6 hours ago
11,1/2 ROOMS AVAILABLE IN BOND SUITE AT ICON,$975.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,7 hours ago
12,Fall 2021 Sublet in Waterloo/Kitchener Area,$500.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,7 hours ago
13,Temporary stay available in Waterloo,$700.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,8 hours ago
14,Great One Bedroom,$950.00,4 km,Kitchener / Waterloo,Victoria Street South,Waterloo,BC,9 hours ago
15,UW/WLU Students Welcome to 75 Columbia,$585.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
16,UW/WLU Students Welcome to 69 Columbia: Available September 2021,$675.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
17,UW/WLU Students Welcome to 61 Columbia for September 2021,$565.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
18,UW/WLU Students Welcome to 41 Columbia for September 2021,$575.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
19,UW/WLU Students Welcome to 35 Columbia: Available September 2021,$510.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
20,UW/WLU Students Welcome to 347 Spruce for September 2021,$525.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
21,Best Student Housing in Waterloo: Welcome to 1 Columbia,$670.00,Near you,Kitchener / Waterloo,Columbia Street East,Waterloo,BC,9 hours ago
22,UW/WLU Students Welcome to 26 Columbia For September 2021,$530.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
23,Best Student Housing in Waterloo: Welcome to 1 Columbia,$685.00,Near you,Kitchener / Waterloo,Columbia Street East,Waterloo,BC,9 hours ago
24,"Gorgeous master room near UW, available from September-5th",$950.00,2 km,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
25,Bedroom Sublet in Waterloo,$625.00,3 km,Kitchener / Waterloo,Erb Street West,Waterloo,BC,10 hours ago
26,IMMEDIATE SHORT LEASE FOR 4 months next to Waterloo,$765.00,Near you,Kitchener / Waterloo,University Avenue West,Waterloo,BC,10 hours ago
27,Student Room for rent near Waterloo / Laurier/Conestoga,$750.00,Near you,Kitchener / Waterloo,University Avenue West,Waterloo,BC,11 hours ago
28,Single room available Waterloo,$550.00,Near you,Kitchener / Waterloo,Albert Street,Waterloo,BC,11 hours ago
29,Rental Room with Attached Washroom Laurier & Waterloo University,$625.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,17 hours ago
30,HUGE ROOM FOR RENT DOWNTOWN KITCHENER! CENTRAL LOCATION!,$775.00,4 km,Kitchener / Waterloo,Duke Street West,Waterloo,BC,21 hours ago
31,Three months free - Uptown Waterloo - Student rentals,$635.00,Near you,Kitchener / Waterloo,Bridgeport Road East,Waterloo,BC,23 hours ago
32,1 MONTH FREE * STUDENT ROOMS @ 134 Columbia St W * SEPT 2021,$695.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,23 hours ago
33,3 BEDROOM STUDENT APARTMENTS * 419 Hazel St * SEPT 2021,$550.00,Near you,Kitchener / Waterloo,Albert Street,Waterloo,BC,23 hours ago
34,Room available near both universities,$700.00,5 km,Kitchener / Waterloo,Erbsville Road,Waterloo,BC,23 hours ago
35,Female Student Rental in Waterloo (By UWaterloo and Laurier),$700.00,2 km,Oakville / Halton Region,Erb Street East,Waterloo,BC,Yesterday
36,Housing Wanted for $650.00 per month for Aug 31,$650.00,2 km,Kitchener / Waterloo,Erb Street East,Waterloo,BC,Yesterday
37,Laurier University! Last Group Suites! BIG GROUP SAVINGS!,$745.00,Near you,Kitchener / Waterloo,King Street North,Waterloo,BC,Yesterday
38,Student Rentals for September - all inclusive!,$535.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,Yesterday
39,Student Rentals for September - all inclusive!,$535.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,Yesterday
40,Room for Rent - Sublet,$700.00,2 km,Kitchener / Waterloo,University Avenue East,Waterloo,BC,Yesterday
41,Looking For 3 FEMALE Roommates! No pets!,$700.00,Near you,Kitchener / Waterloo,Erb Street West,Waterloo,BC,Yesterday
42,2 bedroom student apartment available immediately!,$925.00,Near you,Kitchener / Waterloo,King Street North,Waterloo,BC,Yesterday
43,Good Student Housing:     All inclusive $650.00,$650.00,Near you,Kitchener / Waterloo,Columbia Street East,Waterloo,BC,Yesterday
44,Rooms for rent $600,$600.00,Near you,Kitchener / Waterloo,King Street North,Waterloo,BC,Yesterday
45,Beautiful one bedroom downtown Allison,$425,,Waterloo,(Allison  ),Waterloo,BC,Aug 20
46,Rarely Available River View 2 bed 2 bath,$995,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 20
47,For Rent 1912 1/2 Olive ST CF House / Apt Avail Now Utilities Include,$725,,Waterloo,(  ),Waterloo,BC,Aug 20
48,4 Bedroom town house,$650,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
49,Efficiency apartment,$350,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
50,1 bedroom,$625,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
51,2 bedroom,$700,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
52,EXCELLENT 2 BEDROOM DUPLEX IN SOUTH WATERLOO.,$800,,Waterloo,(1205 Wisconsin Street  ),Waterloo,BC,Aug 19
53,"3 Bedroom, 1 Bathroom House for Rent located at 408 Newell",$800,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
54,"4 Bedroom, 2 Bath House for Rent- 1149 Newton",$950,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
55,"2 Bedroom, 1 Bath Apartment for Rent- 221 Miriam",$550,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
56,"Recently Remodeled 1 Bedroom, 1 Bathroom- 227 Park Road",$425,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
57,2 Bedroom Townhouse for Rent,$500,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
58,House $495 per month with appliances,$495,,Waterloo,(79 gable st  ),Waterloo,BC,Aug 19
59,2 Bedroom Apt | Russell Lamson | Downtown Waterloo,$825,,Waterloo,(  ),Waterloo,BC,Aug 19
60,1 bedroom condo near crossroads,$595,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 19
61,Roomy 2bedroom 1 bath mobile home,$875,,Waterloo,(Cedar Knoll  ),Waterloo,BC,Aug 18
62,3 bedroom 2 bath mobile home ready now,$975,,Waterloo,(Cedar Knoll  ),Waterloo,BC,Aug 18
63,"Studio Apartment, walking distance to Wartburg",$400,,Waterloo,(  ),Waterloo,BC,Aug 17
64,2 Bedroom 2 Bath available now,$995,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 17
65,Single Family Home/Ranch for Rent,$575,,Waterloo,(Garrison  ),Waterloo,BC,Aug 17
66,3 Bedroom house in Independence,$825,,Waterloo,(Independence  ),Waterloo,BC,Aug 17
67,"1 BEDROOM APARTMENT IN HUDSON, IA",$599,,Waterloo,"(355 Eldora, Hudson, Iowa  )",Waterloo,BC,Aug 17
68,Large 3 bed 1 bath Sept 1st,$950,,Waterloo,(Waverly  ),Waterloo,BC,Aug 16
69,Brand spanking new 3bed 2 bath home,$975,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 16
70,FOR RENT- 52 1/2 Franklin Ave *Includes many amenities!,$475,,Waterloo,"(Franklin st, Waterloo  )",Waterloo,BC,Aug 16
71,FOR RENT-905 W 1ST GRUNDY CENTER *Cat ok!*,$545,,Waterloo,(905 1st St Grundy Center  ),Waterloo,BC,Aug 16
72,FOR RENT- 610 W 8th St *PETS OK- (see conditions),$725,,Waterloo,(610 W 8th St  ),Waterloo,BC,Aug 16
73,2021 Brand New homes are here,$925,,Waterloo,(Cedar Knoll  ),Waterloo,BC,Aug 16
74,2 bed room duplex,$750,,Waterloo,(Waverly  ),Waterloo,BC,Aug 16
75,2 Bed room townhouse,$600,,Waterloo,(Waverly  ),Waterloo,BC,Aug 16
76,1 bedroom condo near crossroads.,$595,,Waterloo,(  ),Waterloo,BC,Aug 16
77,1 bedroom condo near crossroads.,$595,,Waterloo,(  ),Waterloo,BC,Aug 15
78,Beautiful 1 Bedroom 1 Bath Move in Ready.,$665,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 14
79,"Welcome to this spacious 3 Bedroom, 3 Bath home in the sought",$450,,Waterloo,"(Waterloo, IA  )",Waterloo,BC,Aug 14
80,2 Bedroom Duplex,$750,,Waterloo,"(921 E. Ridgeway, Waterloo, Iowa  )",Waterloo,BC,Aug 13
81,435 Colby: TWO BED ONE BATH,$950,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 11
82,435 Colby: TWO BED ONE BATH,$950,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 11
83,^^^^UNIT OF THE WEEK^^^,$895,,Waterloo,(Waterloo  ),Waterloo,BC,Aug 11
84,"1,2,3 & 4 Bedrooms $650-$1050 *Close to Allen College and UNI*",$650,,Waterloo,(  ),Waterloo,BC,Aug 10
85,Meadow Ridge 1 Bedroom Apartment for Rent | NO DEPOSIT | WATERLOO,$600,,Waterloo,(Waterloo  ),Waterloo,BC,Aug  9
86,Spacious West side duplex,$950,,Waterloo,(Waterloo),Waterloo,BC,Aug  6
87,Waterloo: Lg 5 Bedroom House @ 914 W 6th St - Available NOW!,$995,,Waterloo,(Waterloo),Waterloo,BC,Aug  6
88,2 bedroom 1 bath mobile home,$875,,Waterloo,(Cedar Knoll),Waterloo,BC,Aug  5
89,Moving Soon!!,$383,,Waterloo,(South View of Waterloo),Waterloo,BC,Aug  4
90,Dixon Drive Apartments,$640,,Waterloo,(Waterloo),Waterloo,BC,Aug  4
91,2 bedroom in great location!,$725,,Waterloo,(3527 Pheasant Ln Apt 8),Waterloo,BC,Aug  2
92,"2 bedroom, 1 bath in Waterloo - 1618 Newell",$650,,Waterloo,,Waterloo,BC,Aug  2
93,"3 bedroom, 1 bath house in Waterloo - 321 Leonard(Waterloo)",$750,,Waterloo,,Waterloo,BC,Aug  2
94,2 Bedroom 1 Bath,$985,,Waterloo,(Waterloo),Waterloo,BC,Aug  2
95,2 Bedroom 1 Bath,$985,,Waterloo,(Cedar Falls),Waterloo,BC,Aug  2
96,Efficiency/Studio for rent,$550,,Waterloo,(Waterloo  ),Waterloo,BC,Aug  2
97,For Rent,$780,,Waterloo,"(Waterloo, Iowa)",Waterloo,BC,Jul 29
98,"Simple 2 BR, $100 deposit, Sec 8 Welcome!",$550,,Waterloo,(Waterloo),Waterloo,BC,Jul 28
99,"Simple 1 BR, $100 Deposit, Section 8 Welcome!",$450,,Waterloo,"(Waterloo, IA)",Waterloo,BC,Jul 28
100,2 BR 1 BATH LA PORTE CITY,$800,,Waterloo,(La Porte City  ),Waterloo,BC,Jul 27
101,"2 BR Apt., Clean and Spacious... Affordable, too",$550,,Waterloo,"(New Hartford, Iowa)",Waterloo,BC,Jul 27
102,1 bed 1 bath $AVE avail Sept 1st,$475,,Waterloo,(Waverly),Waterloo,BC,Jul 26
103,Awesome home for rent,$625,,Waterloo,,Waterloo,BC,Jul 23
104,Two Bedroom Apartment,$800,,Waterloo,"(Waterloo, WI)",Waterloo,BC,Jul 22
105,"2 Bedroom, 1 Bath House for Rent @ 1210 Magnolia",$750,,Waterloo,(1210 Magnolia),Waterloo,BC,Jul 19
106,3-4 bedrooms For Rent,$775,,Waterloo,(Fairbank  ),Waterloo,BC,Jul 17
107,*Spacious 2 bedroom house Hardwood floors*,$750,,Waterloo,(Waterloo  ),Waterloo,BC,Jul 13
108,*Spacious 1 bedroom with hardwood floors*,$425,,Waterloo,(Waterloo  ),Waterloo,BC,Jul 13
109,2 br duplex for rent,$700,,Waterloo,"(Cedar Falls, Iowa  )",Waterloo,BC,Jul 12
110,3X BEDROOM RANCH HOME (VERY GOOD current credit report),$850,,Waterloo,(Waterloo  IA  ),Waterloo,BC,Jul 11
111,"3beds, 2baths in New Baden, IL 62265 For Rent",$900,,Waterloo,(New Baden  ),Waterloo,BC,Jul  9
112,Marsh Place Apartments has 1BD units available downtown,$435,,Waterloo,(Waterloo  ),Waterloo,BC,Jul  9
113,310 E 2nd #4 *UTILITIES INCLUDED**CAT OK*,$495,,Waterloo,(310 E 2nd  ),Waterloo,BC,Jul  8
114,"Extra Storage, Close to Public Transportation, Courtyard",$660,,Waterloo,,Waterloo,BC,Aug 20
115,LOWER LEVEL 2 BED 1 BATH UNIT OFF EDGEWOOD RD!,$595,,Waterloo,,Waterloo,BC,Aug 20
116,"LOWER LEVEL 1 BED 1 BATH, NEW FLOORING!",$495,,Waterloo,,Waterloo,BC,Aug 20
117,COZY ONE BEDROOM NEAR DOWNTOWN CR!,$495,,Waterloo,,Waterloo,BC,Aug 20
118,"QUAINT UPPER FLOOR 1 BED 1 BATH, NEWLY RENOVATED",$425,,Waterloo,,Waterloo,BC,Aug 20
119,"On-Site Laundry Centers, Laundry Facility, Close to Shopping",$660,,Waterloo,,Waterloo,BC,Aug 20
120,"Room mate Matching, College Students Only!",$399,,Waterloo,,Waterloo,BC,Aug 20
121,"Courtyard, 24 Hr. Emergency Maintenance, Conference/Meeting Room",$710,,Waterloo,,Waterloo,BC,Aug 20
122,"Online Payments Available, Extra Storage, Central Air",$670,,Waterloo,,Waterloo,BC,Aug 20
123,A third bedroom was opened up for additional living space.,$680,,Waterloo,,Waterloo,BC,Aug 20
124,All measurements per assessor.,$890,,Waterloo,,Waterloo,BC,Aug 20
125,The lower level has daylight windows!,$820,,Waterloo,,Waterloo,BC,Aug 20
126,"3 bed, 1.5 bath rental in Cedar Rapids",$800,,Waterloo,,Waterloo,BC,Aug 20
127,"3 bed, 1.5 bath rental in Cedar Rapids",$800,,Waterloo,,Waterloo,BC,Aug 20
128,"1 Bedroom Apartment, Safe NW",$475,,Waterloo,,Waterloo,BC,Aug 20
129,Rent by the Room 2 Bed Apartments Close to Kirkwood Community College,$400,,Waterloo,,Waterloo,BC,Aug 20
130,"Patio/Balcony, Great Views and On-site Staff",$799,,Waterloo,,Waterloo,BC,Aug 20
131,"**&&%% Ranch home with 2 bedrooms, 1 bath **&&%%",$900,,Waterloo,,Waterloo,BC,Aug 20
132,Sign Today and Earn a $1000 Gift Card!,$499,,Waterloo,,Waterloo,BC,Aug 20
133,Apartment for rent!,$650,,Waterloo,,Waterloo,BC,Aug 20
134,Apartment for rent!,$700,,Waterloo,,Waterloo,BC,Aug 20
135,Apartments for rent,$700,,Waterloo,,Waterloo,BC,Aug 20
136,3319 Story Street - 2 Bedroom / 1 Bathroom,$595,,Waterloo,,Waterloo,BC,Aug 20
137,Apartments for rent,$750,,Waterloo,,Waterloo,BC,Aug 20
138,Apartment for rent!,$750,,Waterloo,,Waterloo,BC,Aug 20
139,Apartments  For Rent,$750,,Waterloo,,Waterloo,BC,Aug 20
140,Apartments for rent,$700,,Waterloo,,Waterloo,BC,Aug 20
141,Apartments for rent,$650,,Waterloo,,Waterloo,BC,Aug 20
142,Apartments  For Rent,$650,,Waterloo,,Waterloo,BC,Aug 20
143,4410 Toronto #2 available Sept 1st,$750,,Waterloo,,Waterloo,BC,Aug 20
144,4719 Toronto #1 available now,$675,,Waterloo,,Waterloo,BC,Aug 20
145,319 S 2nd #3 available now,$550,,Waterloo,,Waterloo,BC,Aug 20
146,2928 Wood St available now,$750,,Waterloo,,Waterloo,BC,Aug 20
147,2 Bedroom in Waukee coming available,$785,,Waterloo,,Waterloo,BC,Aug 20
148,Spacious Modern Living.,$995,,Waterloo,,Waterloo,BC,Aug 20
149,LOVELY 2BR $640 WEST DES MOINES UNIT AVAILABLE,$640,,Waterloo,,Waterloo,BC,Aug 20
150,"Beautiful Community with Gym, Pool, Fishing, Pet Friendly",$919,,Waterloo,,Waterloo,BC,Aug 20
151,Great space!! Check us out!!,$788,,Waterloo,,Waterloo,BC,Aug 20
152,special!! Call and inquire!!,$716,,Waterloo,,Waterloo,BC,Aug 20
153,LOOK & LEASE!! *restrictions apply* waived application fee!!,$685,,Waterloo,,Waterloo,BC,Aug 20
154,Drake neighborhood!! Close to everything!!,$922,,Waterloo,,Waterloo,BC,Aug 20
155,Find Your Freedom Without Leaving Home!,$995,,Waterloo,,Waterloo,BC,Aug 20
156,Urban Green 2 bed available  9/6,$830,,Waterloo,,Waterloo,BC,Aug 20
157,More reasons to smile,$830,,Waterloo,,Waterloo,BC,Aug 20
158,"Cable Included, Internet Included, Heat Included",$830,,Waterloo,,Waterloo,BC,Aug 20
159,Large Pool Area With Grilling Station!,$950,,Waterloo,,Waterloo,BC,Aug 20
160,"No better place to be, than HERE!!",$685,,Waterloo,,Waterloo,BC,Aug 20
161,Lovely 3Br / 2 BA $725 West Des Moines Unit Available!!,$725,,Waterloo,,Waterloo,BC,Aug 20
162,Stonegate Crossing 1BR coming available!,$997,,Waterloo,,Waterloo,BC,Aug 20
163,4 Bed Student Apartments Next to DMACC in Ankeny,$585,,Waterloo,,Waterloo,BC,Aug 20
164,We love Clive; come see why you will too! 1BR available!,$990,,Waterloo,,Waterloo,BC,Aug 20
